"FriendlyName","InstanceId"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT8"
"Proxy f?r Microsoft Streaming Service","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}"
"LENOVO 20QR0030GE","SWD\COMPUTER\MFG_LENOVO&FAM_THINKPAD_P73&PROD_20QR0030GE&SKU_LENOVO_MT_20QR_BU_THINK_FM_THINKPAD"
"Lenovo Power and Battery","SWD\DRIVERENUM\{0A548529-41E1-458C-9BAF-C10FA17024EC}#POWERMGR_COMPONENT&6&16B7212&0"
"Thunderbolt(TM) Toast Component","SWD\DRIVERENUM\{B4DAA161-39A4-49EA-BC66-7B05A9DDBB16}#TBTTOASTCOMPONENT&7&152EDE61&1"
"DolbyAPO SWC Device","SWD\DRIVERENUM\{C1EAD4EF-D9A9-4E90-8F82-09739E487A29}#DOLBYAPO_DAX3APOSVC&5&39B1D7B7&0"
"DolbyAPO Software Device (HSA)","SWD\DRIVERENUM\{C1EAD4EF-D9A9-4E90-8F82-09739E487A29}#DOLBYAPO_DAX3HSA_DOLBYACCESS&5&39B1D7B7&0"
"SynaAPO Software Device (HSA)","SWD\DRIVERENUM\{DFC8624A-9C27-49F7-9556-FCCBFD080B26}#CONEXANTAPO_GENSA3AUDIO&5&39B1D7B7&0"
"Synaptics Audio Effects Component","SWD\DRIVERENUM\{E66B560A-1729-46FE-A367-1013B2C179DC}#CONEXANTAPO&5&39B1D7B7&0"
"Intel(R) Graphics Control Panel","SWD\DRIVERENUM\CUI&4&3605A4C0&0"
"ELAN Touchpad Component","SWD\DRIVERENUM\ETD_COMPONENT&5&3A7069A5&0"
"Intel(R) Graphics Command Center","SWD\DRIVERENUM\IGCC&4&3605A4C0&0"
"Intel(R) Dynamic Application Loader Host Interface","SWD\DRIVERENUM\OEM_DAL_COMPONENT&4&281C0E8E&0"
"Intel(R) iCLS Client","SWD\DRIVERENUM\OEM_ICLS_COMPONENT&4&281C0E8E&0"
